Date,Not indexed,Indexed,Impressions
2026-05-14,,,8
2026-05-15,17,13,27
2026-05-16,17,16,15
2026-05-17,17,16,24
2026-05-18,17,16,29
2026-05-19,21,15,18
2026-05-20,21,15,27
2026-05-21,21,15,21
2026-05-22,21,15,13
2026-05-23,24,14,17
2026-05-24,24,14,17
2026-05-25,24,14,8
2026-05-26,28,16,14
2026-05-27,28,16,19
2026-05-28,28,16,17
2026-05-29,28,16,26
2026-05-30,31,18,39
2026-05-31,31,18,34
2026-06-01,31,18,27
2026-06-02,35,24,38
2026-06-03,35,24,30
2026-06-04,35,24,32
2026-06-05,35,24,30
2026-06-06,46,30,32
2026-06-07,46,30,39
2026-06-08,46,30,66
2026-06-09,47,46,47
2026-06-10,47,46,47
2026-06-11,47,46,45
2026-06-12,47,46,57
2026-06-13,61,71,40
2026-06-14,61,71,63
2026-06-15,61,71,55
2026-06-16,61,71,71
2026-06-17,61,71,68
2026-06-18,61,71,73
2026-06-19,61,71,63
2026-06-20,61,71,81
2026-06-21,61,71,73
2026-06-22,61,71,74
2026-06-23,61,71,79
2026-06-24,61,71,65
2026-06-25,61,71,90
2026-06-26,61,71,55
2026-06-27,61,71,34
2026-06-28,61,71,48
2026-06-29,61,71,74
2026-06-30,61,71,67
2026-07-01,59,88,65
2026-07-02,59,88,95
2026-07-03,59,88,62
2026-07-04,59,88,54
2026-07-05,59,88,39
2026-07-06,59,88,93
2026-07-07,59,88,85
2026-07-08,59,88,54
2026-07-09,59,88,59
2026-07-10,59,88,54
2026-07-11,92,215,49
2026-07-12,92,215,70
2026-07-13,92,215,58
2026-07-14,92,215,50
2026-07-15,92,215,60
2026-07-16,92,215,74
2026-07-17,92,215,64
2026-07-18,92,215,61
2026-07-19,92,215,152
2026-07-20,92,215,75
2026-07-21,92,215,174
2026-07-22,92,215,211
2026-07-23,92,215,312
2026-07-24,92,215,356
2026-07-25,134,248,755
2026-07-26,134,248,783
2026-07-27,134,248,928
2026-07-28,134,248,953
2026-07-29,134,248,854
2026-07-30,134,248,1055
2026-07-31,134,248,910
2026-08-01,134,248,981
2026-08-02,134,248,1115
2026-08-03,134,248,1258
2026-08-04,134,248,1211
2026-08-05,134,248,1212
2026-08-06,147,289,1170
2026-08-07,147,289,1453
